Order_Date,Order_Priority,Ord_id
11/03/26,MEDIUM,Ord_188
10/07/14,LOW,Ord_189
10/10/23,NOT SPECIFIED,Ord_190
09/08/24,NOT SPECIFIED,Ord_191
11/09/06,LOW,Ord_192
12/11/23,MEDIUM,Ord_193
09/01/05,NOT SPECIFIED,Ord_194
12/11/05,CRITICAL,Ord_195
10/10/15,CRITICAL,Ord_196
11/07/23,LOW,Ord_197
11/11/07,CRITICAL,Ord_198
12/09/16,CRITICAL,Ord_199
09/01/16,MEDIUM,Ord_200
10/10/20,LOW,Ord_201
10/08/30,HIGH,Ord_202
10/07/05,CRITICAL,Ord_203
11/06/21,CRITICAL,Ord_204
10/11/24,MEDIUM,Ord_205
12/04/27,MEDIUM,Ord_206
12/08/28,LOW,Ord_207
11/07/31,HIGH,Ord_208
12/06/10,MEDIUM,Ord_209
10/06/02,NOT SPECIFIED,Ord_210
11/10/17,NOT SPECIFIED,Ord_211
09/08/20,NOT SPECIFIED,Ord_212
10/06/14,CRITICAL,Ord_213
10/02/27,NOT SPECIFIED,Ord_214
09/08/15,HIGH,Ord_215
11/05/14,HIGH,Ord_216
10/07/10,CRITICAL,Ord_217
09/10/23,NOT SPECIFIED,Ord_218
10/09/06,MEDIUM,Ord_219
11/10/01,NOT SPECIFIED,Ord_220
09/01/30,CRITICAL,Ord_221
11/03/28,LOW,Ord_222
10/11/22,LOW,Ord_223
11/05/30,NOT SPECIFIED,Ord_224
12/05/13,HIGH,Ord_225
10/08/06,MEDIUM,Ord_226
09/11/29,MEDIUM,Ord_227
12/01/09,HIGH,Ord_228
10/02/26,MEDIUM,Ord_229
12/05/21,MEDIUM,Ord_230
09/08/11,NOT SPECIFIED,Ord_231
10/08/27,MEDIUM,Ord_232
12/08/17,HIGH,Ord_233
12/09/11,HIGH,Ord_234
11/02/06,CRITICAL,Ord_235
11/10/08,HIGH,Ord_236
09/02/27,LOW,Ord_237
10/07/06,NOT SPECIFIED,Ord_238
12/02/17,LOW,Ord_239
12/02/23,LOW,Ord_240
09/10/15,CRITICAL,Ord_241
09/03/13,CRITICAL,Ord_242
10/12/03,MEDIUM,Ord_243
09/07/07,LOW,Ord_244
12/11/21,LOW,Ord_245
09/02/03,MEDIUM,Ord_246
11/09/22,HIGH,Ord_247
11/07/21,NOT SPECIFIED,Ord_248
09/07/13,NOT SPECIFIED,Ord_249
10/03/29,HIGH,Ord_250
10/06/02,LOW,Ord_251
12/12/09,LOW,Ord_252
10/12/22,NOT SPECIFIED,Ord_253
09/05/30,CRITICAL,Ord_254
12/12/21,CRITICAL,Ord_255
12/02/14,NOT SPECIFIED,Ord_256
10/03/07,NOT SPECIFIED,Ord_257
11/05/16,CRITICAL,Ord_258
10/07/03,MEDIUM,Ord_259
09/04/27,NOT SPECIFIED,Ord_260
12/07/04,HIGH,Ord_261
10/12/31,MEDIUM,Ord_262
10/02/02,NOT SPECIFIED,Ord_263
12/04/15,NOT SPECIFIED,Ord_264
10/05/19,HIGH,Ord_265
09/07/27,NOT SPECIFIED,Ord_266
09/03/31,NOT SPECIFIED,Ord_267
12/11/06,CRITICAL,Ord_268
10/01/09,NOT SPECIFIED,Ord_269
12/09/08,CRITICAL,Ord_270
10/07/05,HIGH,Ord_271
11/08/25,MEDIUM,Ord_272
10/09/21,CRITICAL,Ord_273
12/06/30,LOW,Ord_274
11/01/17,CRITICAL,Ord_275
10/10/10,CRITICAL,Ord_276
11/09/06,HIGH,Ord_277
12/06/26,LOW,Ord_278
10/03/16,MEDIUM,Ord_279
10/11/13,CRITICAL,Ord_280
09/11/14,MEDIUM,Ord_281
11/12/09,HIGH,Ord_282
09/11/23,MEDIUM,Ord_283
10/10/07,CRITICAL,Ord_284
09/06/03,MEDIUM,Ord_285
11/02/17,LOW,Ord_286
11/11/19,HIGH,Ord_287
11/03/06,CRITICAL,Ord_288
10/05/25,HIGH,Ord_289
09/05/30,NOT SPECIFIED,Ord_290
12/08/30,HIGH,Ord_291
11/12/16,CRITICAL,Ord_292
09/09/12,NOT SPECIFIED,Ord_293
12/03/07,CRITICAL,Ord_294
10/12/24,HIGH,Ord_295
11/05/17,LOW,Ord_296
12/11/01,NOT SPECIFIED,Ord_297
11/03/10,NOT SPECIFIED,Ord_298
10/05/03,NOT SPECIFIED,Ord_299
11/05/11,HIGH,Ord_300
09/05/01,HIGH,Ord_301
10/11/25,MEDIUM,Ord_302
11/08/04,HIGH,Ord_303
10/03/31,CRITICAL,Ord_304
12/10/03,NOT SPECIFIED,Ord_305
09/02/20,MEDIUM,Ord_306
09/01/10,CRITICAL,Ord_307
12/01/11,NOT SPECIFIED,Ord_308
11/07/21,HIGH,Ord_309
10/11/23,NOT SPECIFIED,Ord_310
10/06/02,NOT SPECIFIED,Ord_311
11/04/01,MEDIUM,Ord_312
09/02/08,MEDIUM,Ord_313
10/05/06,HIGH,Ord_314
09/02/08,CRITICAL,Ord_315
10/12/28,HIGH,Ord_316
12/10/10,CRITICAL,Ord_317
11/02/04,CRITICAL,Ord_318
09/11/25,CRITICAL,Ord_319
12/11/04,CRITICAL,Ord_320
10/02/16,LOW,Ord_321
10/09/24,HIGH,Ord_322
09/02/21,LOW,Ord_323
12/11/11,CRITICAL,Ord_324
11/10/27,CRITICAL,Ord_325
09/12/16,LOW,Ord_326
10/07/05,CRITICAL,Ord_327
11/08/01,MEDIUM,Ord_328
12/09/07,HIGH,Ord_329
09/09/03,HIGH,Ord_330
11/12/30,HIGH,Ord_331
09/03/29,NOT SPECIFIED,Ord_332
11/02/13,CRITICAL,Ord_333
11/01/28,NOT SPECIFIED,Ord_334
12/08/09,MEDIUM,Ord_335
09/05/18,CRITICAL,Ord_336
12/07/29,LOW,Ord_337
12/04/22,CRITICAL,Ord_338
12/07/16,NOT SPECIFIED,Ord_339
12/09/22,HIGH,Ord_340
10/05/20,CRITICAL,Ord_341
09/02/12,HIGH,Ord_342
10/01/06,MEDIUM,Ord_343
10/09/25,MEDIUM,Ord_344
12/11/19,MEDIUM,Ord_345
10/12/14,LOW,Ord_346
12/10/25,LOW,Ord_347
10/06/17,HIGH,Ord_348
12/06/29,LOW,Ord_349
09/01/02,LOW,Ord_350
11/08/25,CRITICAL,Ord_351
09/06/20,LOW,Ord_352
10/03/05,CRITICAL,Ord_353
09/07/04,LOW,Ord_354
11/02/09,LOW,Ord_355
11/04/14,MEDIUM,Ord_356
11/02/13,NOT SPECIFIED,Ord_357
11/07/30,MEDIUM,Ord_358
10/10/08,MEDIUM,Ord_359
09/06/04,HIGH,Ord_360
10/10/26,HIGH,Ord_361
12/05/26,LOW,Ord_362
12/10/09,LOW,Ord_363
11/03/16,LOW,Ord_364
11/06/18,HIGH,Ord_365
11/11/01,LOW,Ord_366
09/05/03,NOT SPECIFIED,Ord_367
09/12/14,LOW,Ord_368
09/02/02,NOT SPECIFIED,Ord_369
09/08/26,LOW,Ord_370
12/06/03,LOW,Ord_371
09/11/19,HIGH,Ord_372
10/07/24,LOW,Ord_373
10/04/08,MEDIUM,Ord_374
11/07/03,MEDIUM,Ord_375
11/10/20,NOT SPECIFIED,Ord_376
09/04/08,NOT SPECIFIED,Ord_377
10/04/28,LOW,Ord_378
09/04/22,LOW,Ord_379
11/04/12,HIGH,Ord_380
10/06/08,NOT SPECIFIED,Ord_381
11/09/15,LOW,Ord_382
09/02/10,NOT SPECIFIED,Ord_383
09/01/03,CRITICAL,Ord_384
09/06/24,NOT SPECIFIED,Ord_385
11/01/16,MEDIUM,Ord_386
12/01/20,LOW,Ord_387
10/05/21,CRITICAL,Ord_388
12/03/15,NOT SPECIFIED,Ord_389
11/07/08,MEDIUM,Ord_390
11/05/21,HIGH,Ord_391
10/12/22,NOT SPECIFIED,Ord_392
09/03/07,LOW,Ord_393
09/05/27,CRITICAL,Ord_394
12/08/22,HIGH,Ord_395
11/01/26,CRITICAL,Ord_396
12/03/12,CRITICAL,Ord_397
10/06/09,NOT SPECIFIED,Ord_398
11/03/29,LOW,Ord_399
10/08/20,HIGH,Ord_400
10/02/12,LOW,Ord_401
11/03/26,CRITICAL,Ord_402
09/12/19,CRITICAL,Ord_403
11/04/29,LOW,Ord_404
10/10/24,HIGH,Ord_405
10/12/05,HIGH,Ord_406
10/11/04,MEDIUM,Ord_407
09/01/24,LOW,Ord_408
10/11/17,HIGH,Ord_409
10/09/29,HIGH,Ord_410
10/03/08,CRITICAL,Ord_411
11/06/13,MEDIUM,Ord_412
10/05/05,CRITICAL,Ord_413
10/08/30,HIGH,Ord_414
12/10/30,HIGH,Ord_415
09/07/15,HIGH,Ord_416
12/07/08,LOW,Ord_417
09/01/02,CRITICAL,Ord_418
12/07/07,MEDIUM,Ord_419
09/03/27,MEDIUM,Ord_420
10/09/23,NOT SPECIFIED,Ord_421
11/03/28,LOW,Ord_422
09/01/07,LOW,Ord_423
10/11/12,HIGH,Ord_424
09/09/16,HIGH,Ord_425
11/04/02,HIGH,Ord_426
10/11/09,MEDIUM,Ord_427
10/02/03,MEDIUM,Ord_428
09/09/15,CRITICAL,Ord_429
10/12/30,MEDIUM,Ord_430
11/07/25,MEDIUM,Ord_431
09/12/23,LOW,Ord_432
12/10/31,HIGH,Ord_433
09/12/22,CRITICAL,Ord_434
12/04/14,HIGH,Ord_435
11/05/13,MEDIUM,Ord_436
11/07/12,CRITICAL,Ord_437
10/04/12,NOT SPECIFIED,Ord_438
09/11/24,HIGH,Ord_439
11/09/13,NOT SPECIFIED,Ord_440
10/03/12,NOT SPECIFIED,Ord_441
11/12/18,LOW,Ord_442
12/09/08,LOW,Ord_443
10/08/24,CRITICAL,Ord_444
11/05/22,HIGH,Ord_445
12/11/18,CRITICAL,Ord_446
12/06/28,HIGH,Ord_447
09/04/02,LOW,Ord_448
09/12/25,NOT SPECIFIED,Ord_449
11/09/26,HIGH,Ord_450
11/09/22,MEDIUM,Ord_451
09/02/15,CRITICAL,Ord_452
09/11/10,MEDIUM,Ord_453
11/10/03,MEDIUM,Ord_454
12/11/08,HIGH,Ord_455
09/12/25,HIGH,Ord_456
12/06/29,LOW,Ord_457
09/01/18,NOT SPECIFIED,Ord_458
12/05/20,HIGH,Ord_459
09/03/19,HIGH,Ord_460
09/05/09,NOT SPECIFIED,Ord_461
09/03/11,NOT SPECIFIED,Ord_462
11/03/26,HIGH,Ord_463
12/10/02,HIGH,Ord_464
09/06/05,CRITICAL,Ord_465
10/11/23,NOT SPECIFIED,Ord_466
11/10/02,NOT SPECIFIED,Ord_467
10/03/29,NOT SPECIFIED,Ord_468
12/05/09,LOW,Ord_469
11/01/31,CRITICAL,Ord_470
09/07/08,CRITICAL,Ord_471
12/05/05,HIGH,Ord_472
09/10/11,HIGH,Ord_473
10/06/14,NOT SPECIFIED,Ord_474
12/07/01,LOW,Ord_475
10/12/19,HIGH,Ord_476
12/11/29,CRITICAL,Ord_477
09/04/18,MEDIUM,Ord_478
09/09/24,HIGH,Ord_479
11/11/03,MEDIUM,Ord_480
10/12/13,HIGH,Ord_481
12/01/21,MEDIUM,Ord_482
12/06/01,LOW,Ord_483
09/10/12,NOT SPECIFIED,Ord_484
10/12/02,CRITICAL,Ord_485
09/06/26,CRITICAL,Ord_486
11/08/02,CRITICAL,Ord_487
11/02/20,CRITICAL,Ord_488
12/10/09,HIGH,Ord_489
10/12/02,CRITICAL,Ord_490
10/01/02,LOW,Ord_491
11/09/26,NOT SPECIFIED,Ord_492
10/12/08,LOW,Ord_493
10/08/20,HIGH,Ord_494
12/05/17,MEDIUM,Ord_495
10/09/07,LOW,Ord_496
11/10/22,NOT SPECIFIED,Ord_497
10/07/15,MEDIUM,Ord_498
11/04/03,NOT SPECIFIED,Ord_499
09/05/01,HIGH,Ord_500
09/12/05,MEDIUM,Ord_501
10/02/22,MEDIUM,Ord_502
11/06/23,CRITICAL,Ord_503
09/03/20,MEDIUM,Ord_504
11/01/22,LOW,Ord_505
11/07/28,LOW,Ord_506
10/03/04,HIGH,Ord_507
10/11/21,NOT SPECIFIED,Ord_508
10/11/09,MEDIUM,Ord_509
11/08/31,NOT SPECIFIED,Ord_510
09/07/06,HIGH,Ord_511
09/03/22,HIGH,Ord_512
10/09/30,CRITICAL,Ord_513
10/09/15,LOW,Ord_514
10/10/01,NOT SPECIFIED,Ord_515
10/06/26,CRITICAL,Ord_516
11/07/23,LOW,Ord_517
10/10/10,CRITICAL,Ord_518
09/05/02,LOW,Ord_519
11/09/11,LOW,Ord_520
09/07/26,LOW,Ord_521
09/04/18,MEDIUM,Ord_522
12/02/24,LOW,Ord_523
12/07/28,LOW,Ord_524
11/12/14,LOW,Ord_525
10/06/13,LOW,Ord_526
10/01/10,NOT SPECIFIED,Ord_527
12/04/27,HIGH,Ord_528
11/09/24,CRITICAL,Ord_529
12/06/30,HIGH,Ord_530
11/10/11,CRITICAL,Ord_531
09/05/11,NOT SPECIFIED,Ord_532
09/02/19,NOT SPECIFIED,Ord_533
10/02/03,CRITICAL,Ord_534
09/06/28,CRITICAL,Ord_535
09/01/26,HIGH,Ord_536
11/02/08,CRITICAL,Ord_537
10/04/07,HIGH,Ord_538
12/01/10,NOT SPECIFIED,Ord_539
11/07/14,NOT SPECIFIED,Ord_540
10/07/25,MEDIUM,Ord_541
09/06/07,LOW,Ord_542
12/11/12,NOT SPECIFIED,Ord_543
11/01/12,MEDIUM,Ord_544
09/04/04,CRITICAL,Ord_545
10/06/25,MEDIUM,Ord_546
11/02/16,NOT SPECIFIED,Ord_547
10/08/26,LOW,Ord_548
10/04/11,HIGH,Ord_549
09/04/28,LOW,Ord_550
09/06/08,LOW,Ord_551
09/03/18,MEDIUM,Ord_552
09/05/01,NOT SPECIFIED,Ord_553
12/08/10,LOW,Ord_554
10/05/11,NOT SPECIFIED,Ord_555
12/10/12,NOT SPECIFIED,Ord_556
09/05/02,CRITICAL,Ord_557
11/09/28,MEDIUM,Ord_558
12/05/06,LOW,Ord_559
10/09/26,MEDIUM,Ord_560
09/01/21,MEDIUM,Ord_561
12/05/10,CRITICAL,Ord_562
09/03/25,CRITICAL,Ord_563
12/09/20,NOT SPECIFIED,Ord_564
10/05/02,NOT SPECIFIED,Ord_565
10/03/19,HIGH,Ord_566
11/11/19,LOW,Ord_567
09/04/29,MEDIUM,Ord_568
11/03/04,LOW,Ord_569
11/04/16,MEDIUM,Ord_570
10/06/15,LOW,Ord_571
09/09/08,HIGH,Ord_572
09/09/20,MEDIUM,Ord_573
12/03/20,CRITICAL,Ord_574
12/03/23,NOT SPECIFIED,Ord_575
10/07/19,LOW,Ord_576
12/11/21,MEDIUM,Ord_577
09/03/27,HIGH,Ord_578
10/05/14,NOT SPECIFIED,Ord_579
10/10/17,CRITICAL,Ord_580
10/08/24,NOT SPECIFIED,Ord_581
11/10/08,HIGH,Ord_582
09/09/24,MEDIUM,Ord_583
12/10/30,HIGH,Ord_584
10/07/05,MEDIUM,Ord_585
11/09/04,LOW,Ord_586
10/03/06,HIGH,Ord_587
10/05/22,MEDIUM,Ord_588
12/10/25,MEDIUM,Ord_589
10/05/01,NOT SPECIFIED,Ord_590
11/12/30,MEDIUM,Ord_591
11/02/14,LOW,Ord_592
10/05/28,MEDIUM,Ord_593
10/06/28,MEDIUM,Ord_594
11/01/03,LOW,Ord_595
12/02/27,NOT SPECIFIED,Ord_596
12/03/19,NOT SPECIFIED,Ord_597
12/04/03,CRITICAL,Ord_598
12/09/03,CRITICAL,Ord_599
10/05/01,HIGH,Ord_600
12/04/21,MEDIUM,Ord_601
09/06/17,LOW,Ord_602
12/06/13,MEDIUM,Ord_603
12/07/16,MEDIUM,Ord_604
09/05/15,NOT SPECIFIED,Ord_605
11/02/01,CRITICAL,Ord_606
12/05/01,LOW,Ord_607
09/01/23,NOT SPECIFIED,Ord_608
11/12/24,NOT SPECIFIED,Ord_609
12/11/20,CRITICAL,Ord_610
12/12/29,MEDIUM,Ord_611
10/01/31,MEDIUM,Ord_612
09/04/02,MEDIUM,Ord_613
11/12/24,MEDIUM,Ord_614
10/02/27,LOW,Ord_615
12/06/25,CRITICAL,Ord_616
12/03/13,HIGH,Ord_617
10/12/28,MEDIUM,Ord_618
12/03/07,HIGH,Ord_619
12/05/04,NOT SPECIFIED,Ord_620
09/07/24,LOW,Ord_621
11/07/18,MEDIUM,Ord_622
10/04/15,LOW,Ord_623
10/06/15,LOW,Ord_624
11/03/15,HIGH,Ord_625
09/06/12,HIGH,Ord_626
10/07/22,MEDIUM,Ord_627
11/08/10,CRITICAL,Ord_628
10/07/09,LOW,Ord_629
12/01/22,NOT SPECIFIED,Ord_630
12/05/04,HIGH,Ord_631
09/12/12,MEDIUM,Ord_632
12/03/23,MEDIUM,Ord_633
11/09/13,CRITICAL,Ord_634
12/05/09,CRITICAL,Ord_635
10/08/21,MEDIUM,Ord_636
12/10/26,HIGH,Ord_637
10/06/10,LOW,Ord_638
10/03/13,CRITICAL,Ord_639
11/05/25,LOW,Ord_640
11/09/05,NOT SPECIFIED,Ord_641
10/01/18,NOT SPECIFIED,Ord_642
09/12/12,CRITICAL,Ord_643
10/01/22,CRITICAL,Ord_644
12/09/12,NOT SPECIFIED,Ord_645
09/08/28,MEDIUM,Ord_646
12/04/11,HIGH,Ord_647
10/07/20,LOW,Ord_648
11/11/15,CRITICAL,Ord_649
09/03/22,MEDIUM,Ord_650
09/06/08,CRITICAL,Ord_651
12/03/23,HIGH,Ord_652
11/04/13,LOW,Ord_653
11/06/09,CRITICAL,Ord_654
12/05/23,MEDIUM,Ord_655
12/04/03,LOW,Ord_656
09/03/11,NOT SPECIFIED,Ord_657
09/12/08,HIGH,Ord_658
10/07/07,HIGH,Ord_659
10/05/11,HIGH,Ord_660
12/05/05,NOT SPECIFIED,Ord_661
10/06/23,MEDIUM,Ord_662
12/07/28,MEDIUM,Ord_663
09/07/03,CRITICAL,Ord_664
11/01/24,NOT SPECIFIED,Ord_665
09/08/15,MEDIUM,Ord_666
09/02/10,CRITICAL,Ord_667
12/01/01,LOW,Ord_668
09/11/27,HIGH,Ord_669
10/04/08,LOW,Ord_670
10/08/11,NOT SPECIFIED,Ord_671
12/04/12,HIGH,Ord_672
11/10/03,LOW,Ord_673
09/07/16,CRITICAL,Ord_674
09/02/22,NOT SPECIFIED,Ord_675
12/09/21,CRITICAL,Ord_676
12/10/11,NOT SPECIFIED,Ord_677
10/12/04,LOW,Ord_678
11/08/25,HIGH,Ord_679
10/11/20,MEDIUM,Ord_680
10/06/15,CRITICAL,Ord_681
12/04/14,HIGH,Ord_682
12/03/18,CRITICAL,Ord_683
09/05/05,LOW,Ord_684
12/04/18,NOT SPECIFIED,Ord_685
11/09/01,MEDIUM,Ord_686
09/06/03,NOT SPECIFIED,Ord_687
10/07/06,CRITICAL,Ord_688
12/01/16,MEDIUM,Ord_689
10/02/02,CRITICAL,Ord_690
12/08/18,MEDIUM,Ord_691
12/06/10,HIGH,Ord_692
11/03/24,MEDIUM,Ord_693
12/02/10,CRITICAL,Ord_694
12/08/14,MEDIUM,Ord_695
11/02/26,CRITICAL,Ord_696
12/10/11,LOW,Ord_697
12/09/13,MEDIUM,Ord_698
12/10/05,NOT SPECIFIED,Ord_699
10/12/25,CRITICAL,Ord_700
12/03/24,NOT SPECIFIED,Ord_701
09/05/20,MEDIUM,Ord_702
09/06/21,CRITICAL,Ord_703
11/07/08,CRITICAL,Ord_704
10/03/26,MEDIUM,Ord_705
12/12/15,NOT SPECIFIED,Ord_706
09/07/12,MEDIUM,Ord_707
09/09/12,CRITICAL,Ord_708
10/12/21,CRITICAL,Ord_709
12/10/08,LOW,Ord_710
10/12/11,HIGH,Ord_711
12/05/05,CRITICAL,Ord_712
10/07/21,LOW,Ord_713
12/04/05,CRITICAL,Ord_714
10/08/24,CRITICAL,Ord_715
11/10/03,MEDIUM,Ord_716
11/12/11,HIGH,Ord_717
12/03/22,MEDIUM,Ord_718
09/11/16,LOW,Ord_719
09/05/09,LOW,Ord_720
12/07/19,HIGH,Ord_721
12/08/20,MEDIUM,Ord_722
10/08/23,LOW,Ord_723
12/12/25,MEDIUM,Ord_724
11/06/16,NOT SPECIFIED,Ord_725
10/06/23,HIGH,Ord_726
10/10/29,NOT SPECIFIED,Ord_727
09/07/15,CRITICAL,Ord_728
09/04/26,NOT SPECIFIED,Ord_729
11/04/09,MEDIUM,Ord_730
12/09/24,CRITICAL,Ord_731
11/11/10,HIGH,Ord_732
12/02/17,HIGH,Ord_733
09/06/18,MEDIUM,Ord_734
11/05/26,NOT SPECIFIED,Ord_735
10/09/20,LOW,Ord_736
11/05/28,MEDIUM,Ord_737
12/07/28,MEDIUM,Ord_738
12/05/05,NOT SPECIFIED,Ord_739
10/06/17,HIGH,Ord_740
10/07/19,CRITICAL,Ord_741
11/04/07,NOT SPECIFIED,Ord_742
